Date,Open,High,Low,Close,Volume,temp,Date2,ang,ang2,data_x,data_x2,data_x3
20170704,11800,11950,11700,11750,85939,21.2,1996.07,,21.2,0,0,9
20170703,11900,12050,11750,11800,115253,22.9,1996.08,,22.9,40,0,8
20170630,11750,12150,11650,12100,146226,17.5,1996.09,,17.5,30,0,7
20170629,12450,12550,11700,11850,517028,10,1996.1,,10,20,0,6
20170628,13100,13100,12250,12550,349941,2.4,1996.11,,2.4,15,0,5
20170627,13100,13250,12950,13100,80790,-2.5,1996.12,,-2.5,10,0,4
20170626,13200,13350,13050,13050,90397,-7.1,1997.01,,-7.1,7,0,3
20170623,13150,13350,13100,13200,59990,-3.5,1997.02,,-3.5,6,0,2
20170622,13300,13700,13000,13150,153929,2.5,1997.03,,2.5,5,0,1
20170621,13200,13450,13150,13300,85035,8.4,1997.04,,8.4,4,0,0
20170620,13500,13500,12950,13150,238210,12.9,1997.05,,12.9,3,0,0
20170619,13500,13600,13450,13550,82839,18.9,1997.06,,18.9,2,0,0
20170616,13750,13800,13500,13500,140728,22.8,1997.07,,22.8,1,0,0
20170615,14050,14050,13650,13800,100984,23.2,1997.08,,23.2,0,0,0
20170614,13850,14100,13750,14000,102168,15.7,1997.09,,15.7,-1,0,-1
20170613,14100,14100,13750,13850,136161,8.2,1997.1,,8.2,-2,0,-3
20170612,14350,14450,14000,14050,130235,4.6,1997.11,,4.6,-3,0,-4
20170609,14450,14550,14300,14500,83038,-1.8,1997.12,,-1.8,-4,0,-7
20170608,14550,14550,14350,14500,81767,-4.7,1998.01,,-4.7,-5,0,-8
20170607,14450,14550,14250,14500,88980,-0.6,1998.02,,-0.6,-9,0,-10
20170605,14100,14450,14050,14450,147775,2.8,1998.03,,2.8,-9,0,-12
20170602,14200,14250,14000,14050,63830,11.1,1998.04,,11.1,-9,0,-13
20170601,14250,14450,14000,14200,100330,14,1998.05,,14,-9,0,-15
20170531,14100,14600,14100,14250,201570,18,1998.06,,18,-9,0,-16
20170530,13900,14150,13700,14100,116736,21.9,1998.07,,21.9,-25,0,-20
20170529,14100,14350,13850,13900,161825,22.1,1998.08,,22.1,-20,0,-18
20170526,13950,14050,13750,14050,118939,19,1998.09,,19,-9,0,-17
20170525,13800,14150,13750,13900,154782,12.7,1998.1,,12.7,-9,0,-16
20170524,13600,14100,13600,14000,203669,3.3,1998.11,,3.3,-9,0,-14
20170523,13600,13700,13450,13550,77928,-1.7,1998.12,,-1.7,-9,0,-12
20170522,13750,13800,13500,13500,80747,-4.7,1999.01,,-4.7,-9,0,-10
20170519,13450,13800,13350,13750,110595,-3.1,1999.02,,-3.1,-9,0,-9
20170518,13300,13550,13300,13450,88365,1.6,1999.03,,1.6,20,0,-8
20170517,13500,13700,13400,13500,74482,8.7,1999.04,,8.7,-12,0,-7.2
20170516,13900,13950,13450,13500,209598,12.4,1999.05,,12.4,-9,0,-7
20170515,13800,13950,13700,13900,118192,18.5,1999.06,,18.5,-7,0,-5.6
20170512,13750,13900,13700,13800,108554,22.3,1999.07,,22.3,-6,0,-5
20170511,13800,13950,13750,13850,73957,22.3,1999.08,,22.3,-3,0,-4.8
20170510,14100,14150,13750,13900,121814,19.4,1999.09,,19.4,-3,0,-4
20170508,13950,14300,13750,14150,143347,10,1999.1,,10,-3,0,-3.1
20170504,13500,13800,13500,13700,61186,3.8,1999.11,,3.8,10,0,-2.7
20170502,13600,13800,13450,13500,96545,-3.4,1999.12,,-3.4,9,0,-2.3
20170428,14050,14050,13600,13650,131436,-5.7,2000.01,,-5.7,8,0,-1.5
20170427,14000,14150,13900,13900,66919,-5.8,2000.02,,-5.8,7,0,-1
20170426,14000,14250,13750,14000,116824,1.7,2000.03,,1.7,6,0,0
20170425,13900,14150,13850,13900,98692,7.3,2000.04,,7.3,4,0,0
20170424,14250,14300,13850,13900,119022,12.9,2000.05,,12.9,2,0,0
20170421,14350,14500,14000,14250,136625,19.1,2000.06,,19.1,1,0,0
20170420,14650,14850,14150,14250,252868,23.1,2000.07,,23.1,0,0,0
20170419,13600,15700,13600,14700,1284413,22.9,2000.08,,22.9,-1,0,0
20170418,13600,13600,13300,13550,152143,17.1,2000.09,,17.1,-1,0,0
20170417,13800,13850,13450,13500,176190,10.7,2000.1,,10.7,-1,0,1
20170414,14200,14200,13600,13750,155963,2.7,2000.11,,2.7,-15,0,2
20170413,13800,14200,13800,14100,173702,-2.9,2000.12,,-2.9,-12,0,3
20170412,14350,14450,13100,13800,500081,-7.8,2001.01,,-7.8,-10,0,4
20170411,14800,15050,14000,14400,244240,-3.7,2001.02,,-3.7,-9,0,8
20170410,15600,15600,14700,14900,282896,0.9,2001.03,,0.9,-8,0,11
20170407,15500,15600,15350,15450,58229,8.7,2001.04,,8.7,-7,0,12
20170406,15650,15650,15400,15400,82015,14.8,2001.05,,14.8,-6,0,13
20170405,15800,15900,15500,15600,92115,19.2,2001.06,,19.2,-5,0,15
20170404,15650,16050,15500,15900,213359,22.9,2001.07,,22.9,-4,0,17
